type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,label,first_word,data
CSI_DATA,16113,60:32:b1:0c:75:92,-42,11,1,5,0,0,1,0,1,0,0,-95,0,1,0,200792467,0,83,0,128,Still,0,"0,0,9,0,5,2,1,4,-3,6,-5,9,-7,11,-8,13,-9,14,-8,16,-8,16,-7,16,-6,15,-5,14,-3,12,-2,10,-2,7,-2,5,-3,2,-3,-1,-4,-3,-4,-5,-5,-7,-5,-8,-6,-9,-6,-9,-6,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-9,-4,-11,-5,-13,-5,-15,-6,-17,-6,-17,-6,-17,-6,-16,-5,-15,-5,-14,-3,-11,-2,-9,1,-6,3,-3,6,-1,9,1,12,2,16,3,18,3,21,3,22,2,24,1,24,0,23,0,21,-1,18,-1"
CSI_DATA,16114,60:32:b1:0c:75:92,-42,11,1,5,0,0,1,0,1,0,0,-95,0,1,0,200808596,0,83,0,128,Still,0,"0,0,-10,-3,-5,-4,-1,-5,3,-6,6,-8,8,-10,9,-12,10,-13,10,-14,10,-15,9,-15,8,-15,6,-14,5,-12,4,-10,3,-8,2,-5,2,-2,2,0,2,3,2,5,3,7,3,8,3,8,3,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,10,2,12,3,14,3,16,3,16,3,16,3,15,3,14,2,12,1,10,0,8,-2,4,-4,2,-7,-1,-9,-3,-12,-5,-16,-6,-18,-6,-21,-6,-22,-6,-24,-5,-24,-5,-23,-4,-21,-3,-18,-3"
CSI_DATA,16115,60:32:b1:0c:75:92,-42,11,1,5,0,0,1,0,1,0,0,-95,0,1,0,200823766,0,83,0,128,Still,0,"0,0,-1,-10,1,-6,3,-3,6,0,9,3,11,4,13,5,15,5,17,5,17,4,17,3,16,2,14,1,12,0,10,0,8,0,5,1,2,1,-1,2,-3,3,-5,4,-6,5,-7,5,-7,6,-8,6,-8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,5,-10,6,-11,6,-13,7,-15,8,-15,8,-15,8,-14,8,-13,7,-12,6,-10,4,-8,2,-6,0,-4,-3,-2,-7,-1,-10,-1,-13,0,-17,-1,-19,-2,-21,-3,-23,-3,-24,-4,-24,-5,-23,-5,-20,-4,-18"
CSI_DATA,16116,60:32:b1:0c:75:92,-42,11,1,5,0,0,1,0,1,0,0,-95,0,1,0,200835544,0,83,0,128,Still,0,"0,0,-10,2,-7,-2,-3,-4,0,-7,2,-11,3,-13,3,-15,3,-17,2,-18,2,-18,0,-18,0,-17,-1,-15,-1,-13,-2,-11,-1,-9,0,-6,1,-4,2,-1,3,1,4,3,6,4,6,5,7,6,7,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,8,7,10,9,12,9,13,10,13,10,13,10,12,9,12,7,10,6,9,3,7,0,5,-3,3,-6,2,-10,1,-13,1,-16,1,-19,2,-21,3,-23,4,-23,5,-23,6,-22,7,-20,7,-17,6"
CSI_DATA,16117,60:32:b1:0c:75:92,-42,11,1,5,0,0,1,0,1,0,0,-95,0,1,0,200847366,0,83,0,128,Still,0,"0,0,9,-4,6,0,2,3,0,6,-2,10,-3,13,-3,15,-2,16,-2,17,-1,17,0,17,1,16,2,14,2,13,2,10,1,8,0,5,-2,3,-3,0,-5,-1,-6,-3,-7,-5,-8,-6,-9,-6,-9,-6,-9,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-7,-8,-9,-9,-11,-10,-12,-11,-13,-12,-14,-12,-13,-11,-13,-11,-12,-9,-11,-7,-9,-5,-8,-1,-6,2,-4,6,-3,9,-3,12,-3,15,-4,18,-4,20,-6,21,-7,22,-8,21,-9,21,-9,19,-9,16,-8"
CSI_DATA,16118,60:32:b1:0c:75:92,-42,11,1,5,0,0,1,0,1,0,0,-95,0,1,0,200857598,0,83,0,128,Still,0,"0,0,-10,-3,-5,-4,-1,-5,3,-6,6,-9,8,-10,9,-12,10,-13,10,-14,9,-15,9,-15,7,-15,6,-14,5,-13,4,-10,3,-8,2,-5,2,-3,2,0,2,3,2,5,3,7,3,8,3,8,3,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,10,2,12,2,14,2,16,3,16,3,16,2,16,2,14,2,12,1,10,0,8,-2,4,-4,2,-7,-1,-10,-3,-12,-5,-16,-6,-18,-7,-20,-7,-23,-7,-24,-6,-23,-5,-23,-4,-21,-3,-18,-3"
CSI_DATA,16119,60:32:b1:0c:75:92,-42,11,1,5,0,0,1,0,1,0,0,-95,0,1,0,200868562,0,83,0,128,Still,0,"0,0,7,5,3,5,-2,4,-6,4,-9,5,-12,5,-14,6,-15,7,-16,9,-15,9,-15,10,-13,10,-11,10,-10,9,-8,7,-6,5,-5,3,-3,0,-2,-2,-1,-4,-1,-7,-1,-8,-1,-10,0,-10,-1,-10,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,1,-11,2,-13,2,-16,3,-17,3,-17,3,-17,3,-17,2,-15,2,-13,2,-11,2,-8,3,-5,4,-1,5,2,7,5,9,8,11,10,14,12,16,13,18,13,19,13,19,12,19,11,18,10,15,8"
CSI_DATA,16120,60:32:b1:0c:75:92,-42,11,1,5,0,0,1,0,1,0,0,-95,0,1,0,200881386,0,83,0,128,Still,0,"0,0,-3,-9,-1,-6,3,-3,6,-1,9,1,12,2,14,2,16,2,17,2,18,1,17,0,16,-1,14,-2,13,-2,10,-2,8,-1,5,0,2,1,0,2,-2,3,-4,4,-5,5,-6,6,-7,7,-7,7,-7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,6,-8,8,-9,9,-11,10,-12,12,-12,12,-12,12,-12,12,-11,11,-10,9,-8,7,-7,4,-5,1,-4,-2,-3,-6,-3,-10,-3,-13,-4,-16,-5,-19,-6,-21,-8,-22,-9,-23,-10,-22,-10,-21,-9,-19,-8,-16"
CSI_DATA,16121,60:32:b1:0c:75:92,-42,11,1,5,0,0,1,0,1,0,0,-95,0,1,0,200899526,0,83,0,128,Still,0,"0,0,1,9,-2,5,-4,2,-7,-2,-9,-4,-12,-5,-14,-6,-16,-6,-17,-6,-17,-6,-18,-5,-17,-3,-15,-2,-14,-2,-11,-1,-9,-2,-6,-2,-3,-2,0,-3,2,-4,4,-4,5,-5,6,-6,7,-6,7,-6,7,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-6,8,-7,10,-8,11,-9,13,-10,13,-10,13,-10,13,-10,12,-9,10,-8,8,-6,7,-4,5,-1,3,2,2,5,0,8,0,12,0,15,0,18,1,20,2,21,3,22,4,22,4,21,4,20,4,17"
CSI_DATA,16122,60:32:b1:0c:75:92,-41,11,1,5,0,0,1,0,1,0,0,-95,0,1,0,200909641,0,83,0,128,Still,0,"0,0,-1,-10,1,-6,3,-3,6,1,8,3,11,4,13,5,14,5,16,4,16,4,16,3,15,2,14,1,12,0,10,0,7,0,4,1,2,1,-1,2,-3,3,-5,4,-6,5,-7,5,-7,5,-8,6,-7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,5,-9,5,-11,6,-13,7,-14,7,-14,8,-14,8,-14,7,-13,7,-11,6,-9,4,-8,2,-5,-1,-4,-3,-2,-6,-1,-10,-1,-13,0,-16,-1,-18,-2,-20,-3,-22,-3,-23,-4,-22,-5,-21,-5,-19,-4,-17"
